"Pass []","re(Mode(1)) [g]","re(Mode(2)) [g]"
1,3.17305815543111,8.92288994887498
2,3.68414079660915,4.56477252875059
3,4.87058414408574,5.32613243403362
4,5.09776107468746,5.51602870605828
5,5.18500587636969,5.61610202862059
6,5.2417329790622,5.67245054459499
7,5.27471142101045,5.70773829928396
8,5.29979316477538,5.73264330790931
9,,
10,,
11,,
12,,
