"Pass []","re(Mode(1)) [g]","re(Mode(2)) [g]"
1,7.82627071294657,31.6798904629679
2,4.59590430798814,5.03636186796402
3,4.98434590269343,5.44215328131045
4,5.13540822976231,5.56036066570045
5,5.20844149511244,5.64003491966974
6,5.25392177679703,5.68153454177985
7,5.28460856079775,5.72037616471045
8,5.30614501868213,5.7425176156315
9,,
10,,
11,,
12,,
